region,homes_occupied,homes_unoccupied,homes_total,region_norm,region_code,share_unoccupied
Piemonte  ,1964108,827768,2791876,Piemonte,1,29.649167799716032
Valle d'Aosta / Vallée d'Aoste  ,59616,75948,135564,Valle d'Aosta/Vallée d'Aoste,2,56.0237231123307
Liguria  ,746686,431321,1178007,Liguria,7,36.6144683350778
Lombardia  ,4415364,1184728,5600092,Lombardia,3,21.155509588056766
Trentino Alto Adige / Südtirol  ,463305,219888,683193,Trentino Alto Adige/Südtirol,4,32.18534147744488
Veneto  ,2076568,584378,2660946,Veneto,5,21.961287451906202
Friuli-Venezia Giulia  ,557109,173363,730472,Friuli-Venezia Giulia,6,23.733010984678398
Emilia-Romagna  ,1993088,554077,2547165,Emilia-Romagna,8,21.75269368101399
Toscana  ,1627013,506892,2133905,Toscana,9,23.75419711749117
Umbria  ,376747,126922,503669,Umbria,10,25.199486170481013
Marche  ,635066,236436,871502,Marche,11,27.12971398803445
Lazio  ,2555710,618760,3174470,Lazio,12,19.491757679234645
Abruzzo  ,548556,346189,894745,Abruzzo,13,38.69135899055038
Molise  ,128545,103339,231884,Molise,14,44.56495489123872
Campania  ,2163946,709914,2873860,Campania,15,24.702455930351512
Puglia  ,1604719,699580,2304299,Puglia,16,30.359775359013742
Basilicata  ,232997,131810,364807,Basilicata,17,36.13143388147705
Calabria  ,794685,580819,1375504,Calabria,18,42.22590410496807
Sicilia  ,2024043,1157217,3181260,Sicilia,19,36.37605854284152
Sardegna  ,722186,312423,1034609,Sardegna,20,30.197204934424505
