region_code,region,tot_pop,settlements_count,dispersed_index,share_65plus,share_unoccupied,macro_region
1,Piemonte,4255702.0,9220,2.166505079537994,26.85321951584016,29.649167799716032,North
2,Valle d'Aosta/Vallée d'Aoste,122714.0,2901,23.640334436168654,25.82101471714719,56.0237231123307,North
3,Lombardia,10035481.0,8531,0.8500838176067496,23.856026432614442,21.155509588056766,North
4,Trentino-Alto Adige/Südtirol,1086095.0,2625,2.4169156473420834,22.53090199291959,32.18534147744488,North
5,Veneto,4851851.0,5888,1.2135574649757381,24.90127994449953,21.961287451906202,North
6,Friuli-Venezia Giulia,1194095.0,1966,1.6464351663812342,27.478131974424148,23.733010984678398,North
7,Liguria,1509908.0,2196,1.4543932478005284,29.18356615105026,36.6144683350778,North
8,Emilia-Romagna,4465678.0,8052,1.8030856680665288,24.91303672141162,21.75269368101399,North
9,Toscana,3660834.0,5316,1.4521281216247446,26.71183670169147,23.75419711749117,Centre
10,Umbria,851954.0,1901,2.231341128746388,27.31720257196985,25.199486170481013,Centre
11,Marche,1481252.0,2722,1.8376346496072242,26.550377653498526,27.12971398803445,Centre
12,Lazio,5710272.0,1660,0.29070419062349395,23.82707864003676,19.491757679234645,Centre
13,Abruzzo,1268430.0,2220,1.7501951231049406,26.029264523860206,38.69135899055038,South
14,Molise,287966.0,454,1.5765750123278441,27.134800636186217,44.56495489123872,South
15,Campania,5575025.0,1871,0.33560387621580173,21.416980192913933,24.702455930351512,South
16,Puglia,3874166.0,471,0.1215745530780044,24.740266679331757,30.359775359013742,South
17,Basilicata,529897.0,349,0.6586185617204853,25.92994487607969,36.13143388147705,South
18,Calabria,1832147.0,1414,0.7717721340045314,24.437940842083087,42.22590410496807,South
19,Sicilia,4779371.0,1738,0.36364617854525205,23.679057348759912,36.37605854284152,Islands
20,Sardegna,1561339.0,1175,0.7525591815742769,27.434272762033103,30.197204934424505,Islands
