region_code,region,age,pop_male,pop_female,pop_total
13,Abruzzo,0.0,3842.0,3577.0,7419.0
13,Abruzzo,1.0,4010.0,3653.0,7663.0
13,Abruzzo,2.0,4260.0,3873.0,8133.0
13,Abruzzo,3.0,4298.0,4163.0,8461.0
13,Abruzzo,4.0,4456.0,4163.0,8619.0
13,Abruzzo,5.0,4524.0,4308.0,8832.0
13,Abruzzo,6.0,4701.0,4487.0,9188.0
13,Abruzzo,7.0,5054.0,4718.0,9772.0
13,Abruzzo,8.0,5285.0,4964.0,10249.0
13,Abruzzo,9.0,5415.0,5045.0,10460.0
13,Abruzzo,10.0,5484.0,5167.0,10651.0
13,Abruzzo,11.0,5522.0,5197.0,10719.0
13,Abruzzo,12.0,5813.0,5529.0,11342.0
13,Abruzzo,13.0,6000.0,5470.0,11470.0
13,Abruzzo,14.0,6052.0,5707.0,11759.0
13,Abruzzo,15.0,6011.0,5571.0,11582.0
13,Abruzzo,16.0,6205.0,5823.0,12028.0
13,Abruzzo,17.0,6090.0,5747.0,11837.0
13,Abruzzo,18.0,6130.0,5632.0,11762.0
13,Abruzzo,19.0,6272.0,5804.0,12076.0
13,Abruzzo,20.0,6501.0,5735.0,12236.0
13,Abruzzo,21.0,6330.0,5703.0,12033.0
13,Abruzzo,22.0,6318.0,5608.0,11926.0
13,Abruzzo,23.0,6402.0,5856.0,12258.0
13,Abruzzo,24.0,6748.0,5828.0,12576.0
13,Abruzzo,25.0,6633.0,5897.0,12530.0
13,Abruzzo,26.0,6713.0,5959.0,12672.0
13,Abruzzo,27.0,6680.0,5909.0,12589.0
13,Abruzzo,28.0,6634.0,6049.0,12683.0
13,Abruzzo,29.0,6649.0,5885.0,12534.0
13,Abruzzo,30.0,6706.0,6168.0,12874.0
13,Abruzzo,31.0,6892.0,6286.0,13178.0
13,Abruzzo,32.0,7107.0,6495.0,13602.0
13,Abruzzo,33.0,7049.0,6567.0,13616.0
13,Abruzzo,34.0,7217.0,6800.0,14017.0
13,Abruzzo,35.0,7337.0,6701.0,14038.0
13,Abruzzo,36.0,7359.0,6954.0,14313.0
13,Abruzzo,37.0,7131.0,6912.0,14043.0
13,Abruzzo,38.0,7316.0,7204.0,14520.0
13,Abruzzo,39.0,7577.0,7437.0,15014.0
13,Abruzzo,40.0,7728.0,7503.0,15231.0
13,Abruzzo,41.0,7757.0,7549.0,15306.0
13,Abruzzo,42.0,7963.0,8048.0,16011.0
13,Abruzzo,43.0,8025.0,7869.0,15894.0
13,Abruzzo,44.0,8257.0,8076.0,16333.0
13,Abruzzo,45.0,8598.0,8455.0,17053.0
13,Abruzzo,46.0,8939.0,8698.0,17637.0
13,Abruzzo,47.0,9002.0,8775.0,17777.0
13,Abruzzo,48.0,9303.0,9256.0,18559.0
13,Abruzzo,49.0,9396.0,9669.0,19065.0
13,Abruzzo,50.0,9934.0,9904.0,19838.0
13,Abruzzo,51.0,9666.0,9981.0,19647.0
13,Abruzzo,52.0,9956.0,10219.0,20175.0
13,Abruzzo,53.0,9990.0,10537.0,20527.0
13,Abruzzo,54.0,9831.0,10206.0,20037.0
13,Abruzzo,55.0,10324.0,10608.0,20932.0
13,Abruzzo,56.0,10211.0,10490.0,20701.0
13,Abruzzo,57.0,10148.0,10704.0,20852.0
13,Abruzzo,58.0,10300.0,10749.0,21049.0
13,Abruzzo,59.0,10326.0,10756.0,21082.0
13,Abruzzo,60.0,10432.0,10716.0,21148.0
13,Abruzzo,61.0,9700.0,10205.0,19905.0
13,Abruzzo,62.0,9295.0,9813.0,19108.0
13,Abruzzo,63.0,8885.0,9828.0,18713.0
13,Abruzzo,64.0,8819.0,9594.0,18413.0
13,Abruzzo,65.0,8625.0,9412.0,18037.0
13,Abruzzo,66.0,8259.0,9010.0,17269.0
13,Abruzzo,67.0,8105.0,8812.0,16917.0
13,Abruzzo,68.0,8100.0,8573.0,16673.0
13,Abruzzo,69.0,7832.0,8722.0,16554.0
13,Abruzzo,70.0,7581.0,8485.0,16066.0
13,Abruzzo,71.0,7070.0,7889.0,14959.0
13,Abruzzo,72.0,6951.0,7769.0,14720.0
13,Abruzzo,73.0,6714.0,7906.0,14620.0
13,Abruzzo,74.0,7013.0,7913.0,14926.0
13,Abruzzo,75.0,7004.0,8030.0,15034.0
13,Abruzzo,76.0,6860.0,8085.0,14945.0
13,Abruzzo,77.0,6459.0,7502.0,13961.0
13,Abruzzo,78.0,6114.0,7173.0,13287.0
13,Abruzzo,79.0,4330.0,5392.0,9722.0
13,Abruzzo,80.0,4537.0,5565.0,10102.0
13,Abruzzo,81.0,4213.0,5380.0,9593.0
13,Abruzzo,82.0,3805.0,5106.0,8911.0
13,Abruzzo,83.0,3665.0,4959.0,8624.0
13,Abruzzo,84.0,3911.0,5491.0,9402.0
13,Abruzzo,85.0,3703.0,5300.0,9003.0
13,Abruzzo,86.0,3049.0,4556.0,7605.0
13,Abruzzo,87.0,2811.0,4213.0,7024.0
13,Abruzzo,88.0,2261.0,3653.0,5914.0
13,Abruzzo,89.0,1984.0,3400.0,5384.0
13,Abruzzo,90.0,1564.0,2917.0,4481.0
13,Abruzzo,91.0,1319.0,2668.0,3987.0
13,Abruzzo,92.0,978.0,2050.0,3028.0
13,Abruzzo,93.0,807.0,1751.0,2558.0
13,Abruzzo,94.0,632.0,1537.0,2169.0
13,Abruzzo,95.0,417.0,1038.0,1455.0
13,Abruzzo,96.0,263.0,761.0,1024.0
13,Abruzzo,97.0,197.0,557.0,754.0
13,Abruzzo,98.0,106.0,376.0,482.0
13,Abruzzo,99.0,68.0,297.0,365.0
13,Abruzzo,100.0,121.0,487.0,608.0
13,Abruzzo,999.0,622936.0,645494.0,1268430.0
17,Basilicata,0.0,1591.0,1482.0,3073.0
17,Basilicata,1.0,1589.0,1507.0,3096.0
17,Basilicata,2.0,1726.0,1489.0,3215.0
17,Basilicata,3.0,1755.0,1608.0,3363.0
17,Basilicata,4.0,1864.0,1674.0,3538.0
17,Basilicata,5.0,1929.0,1749.0,3678.0
17,Basilicata,6.0,1904.0,1819.0,3723.0
17,Basilicata,7.0,2098.0,1875.0,3973.0
17,Basilicata,8.0,2073.0,1953.0,4026.0
17,Basilicata,9.0,2097.0,1987.0,4084.0
17,Basilicata,10.0,2084.0,2007.0,4091.0
17,Basilicata,11.0,2112.0,1944.0,4056.0
17,Basilicata,12.0,2352.0,2116.0,4468.0
17,Basilicata,13.0,2293.0,2136.0,4429.0
17,Basilicata,14.0,2355.0,2234.0,4589.0
17,Basilicata,15.0,2500.0,2270.0,4770.0
17,Basilicata,16.0,2585.0,2349.0,4934.0
17,Basilicata,17.0,2601.0,2343.0,4944.0
17,Basilicata,18.0,2700.0,2397.0,5097.0
17,Basilicata,19.0,2733.0,2405.0,5138.0
17,Basilicata,20.0,2868.0,2658.0,5526.0
17,Basilicata,21.0,2960.0,2526.0,5486.0
17,Basilicata,22.0,2908.0,2627.0,5535.0
17,Basilicata,23.0,2959.0,2569.0,5528.0
17,Basilicata,24.0,3075.0,2639.0,5714.0
17,Basilicata,25.0,3089.0,2681.0,5770.0
17,Basilicata,26.0,3119.0,2536.0,5655.0
17,Basilicata,27.0,3029.0,2590.0,5619.0
17,Basilicata,28.0,3023.0,2521.0,5544.0
17,Basilicata,29.0,2960.0,2600.0,5560.0
17,Basilicata,30.0,2940.0,2683.0,5623.0
17,Basilicata,31.0,3024.0,2615.0,5639.0
17,Basilicata,32.0,3219.0,2841.0,6060.0
17,Basilicata,33.0,3055.0,2798.0,5853.0
17,Basilicata,34.0,3232.0,2934.0,6166.0
17,Basilicata,35.0,3201.0,2828.0,6029.0
17,Basilicata,36.0,3179.0,2862.0,6041.0
17,Basilicata,37.0,3177.0,2811.0,5988.0
17,Basilicata,38.0,3115.0,2799.0,5914.0
17,Basilicata,39.0,3233.0,2951.0,6184.0
17,Basilicata,40.0,3262.0,3060.0,6322.0
17,Basilicata,41.0,3243.0,3101.0,6344.0
17,Basilicata,42.0,3241.0,3231.0,6472.0
17,Basilicata,43.0,3240.0,3152.0,6392.0
17,Basilicata,44.0,3285.0,3171.0,6456.0
17,Basilicata,45.0,3444.0,3252.0,6696.0
17,Basilicata,46.0,3632.0,3439.0,7071.0
17,Basilicata,47.0,3544.0,3673.0,7217.0
17,Basilicata,48.0,3942.0,3818.0,7760.0
17,Basilicata,49.0,3828.0,3965.0,7793.0
17,Basilicata,50.0,4009.0,3989.0,7998.0
17,Basilicata,51.0,3978.0,3990.0,7968.0
17,Basilicata,52.0,3970.0,4151.0,8121.0
17,Basilicata,53.0,4015.0,4169.0,8184.0
17,Basilicata,54.0,4067.0,4261.0,8328.0
17,Basilicata,55.0,4288.0,4284.0,8572.0
17,Basilicata,56.0,4180.0,4319.0,8499.0
17,Basilicata,57.0,4302.0,4502.0,8804.0
17,Basilicata,58.0,4094.0,4478.0,8572.0
17,Basilicata,59.0,4265.0,4461.0,8726.0
17,Basilicata,60.0,4406.0,4619.0,9025.0
17,Basilicata,61.0,4180.0,4328.0,8508.0
17,Basilicata,62.0,4237.0,4334.0,8571.0
17,Basilicata,63.0,3968.0,4315.0,8283.0
17,Basilicata,64.0,3890.0,4204.0,8094.0
17,Basilicata,65.0,3746.0,3998.0,7744.0
17,Basilicata,66.0,3666.0,3866.0,7532.0
17,Basilicata,67.0,3402.0,3901.0,7303.0
17,Basilicata,68.0,3554.0,3860.0,7414.0
17,Basilicata,69.0,3482.0,3606.0,7088.0
17,Basilicata,70.0,3352.0,3686.0,7038.0
17,Basilicata,71.0,3140.0,3293.0,6433.0
17,Basilicata,72.0,2958.0,3313.0,6271.0
17,Basilicata,73.0,2883.0,3262.0,6145.0
17,Basilicata,74.0,2993.0,3300.0,6293.0
17,Basilicata,75.0,2979.0,3266.0,6245.0
17,Basilicata,76.0,2900.0,3418.0,6318.0
17,Basilicata,77.0,2584.0,3082.0,5666.0
17,Basilicata,78.0,2286.0,2714.0,5000.0
17,Basilicata,79.0,1667.0,2157.0,3824.0
17,Basilicata,80.0,1670.0,2010.0,3680.0
17,Basilicata,81.0,1577.0,1963.0,3540.0
17,Basilicata,82.0,1447.0,1953.0,3400.0
17,Basilicata,83.0,1405.0,1851.0,3256.0
17,Basilicata,84.0,1570.0,2107.0,3677.0
17,Basilicata,85.0,1473.0,2133.0,3606.0
17,Basilicata,86.0,1304.0,1960.0,3264.0
17,Basilicata,87.0,1140.0,1863.0,3003.0
17,Basilicata,88.0,984.0,1621.0,2605.0
17,Basilicata,89.0,804.0,1450.0,2254.0
17,Basilicata,90.0,700.0,1300.0,2000.0
17,Basilicata,91.0,564.0,1089.0,1653.0
17,Basilicata,92.0,439.0,834.0,1273.0
17,Basilicata,93.0,337.0,702.0,1039.0
17,Basilicata,94.0,250.0,606.0,856.0
17,Basilicata,95.0,187.0,451.0,638.0
17,Basilicata,96.0,113.0,317.0,430.0
17,Basilicata,97.0,97.0,235.0,332.0
17,Basilicata,98.0,51.0,168.0,219.0
17,Basilicata,99.0,29.0,106.0,135.0
17,Basilicata,100.0,55.0,173.0,228.0
17,Basilicata,999.0,262604.0,267293.0,529897.0
18,Calabria,0.0,6523.0,6224.0,12747.0
18,Calabria,1.0,6808.0,6447.0,13255.0
18,Calabria,2.0,6986.0,6466.0,13452.0
